recipedetails,assist_action_ad,assist_action_image,assist_action_sub,assist_action_search,assist_action_video,assist_action_activate,assist_action_clarify
in a medium saucepan mix figs and sugar together and cook on low heat uncovered about of minutes,0,0,0,0,1,0,0
if processing pour hot preserves mixture into a hot sterile quart or two pint glass canning jars filling jar to within inch from top wipe rim and seal jar with lid put jar in waterbath canner or on rack set in a deep kettle and cover with hot water by a to a inches bring to a gentle simmer 180 to 185 degrees and process covered a minutes transfer jar to a rack using tongs and let cool completely store in a cool dark place,0,0,1,0,0,1,0
this recipe yields a quart of preserves,0,0,0,0,0,0,1
drain pineapple reserving of cup juice save remaining juice for another use place the pineapple and reserved juice in a blender cover and process until smooth set aside,0,0,0,1,1,0,0
in a large bowl combine the flour sugar baking powder baking soda and salt in a small bowl whisk the eggs oil vanilla pineapple mixture stir into the dry ingredients until blended fold in the zucchini cranberries and nuts,0,0,1,0,0,1,0
pour into two greased and floured in round baking pans bake at 350° for 3035 minutes or until a toothpick inserted near the center comes out clean,0,0,0,1,0,0,1
cool for of minutes before removing from pans to wire racks to cool completely just before serving dust with confectioners sugar yield a cakes a wedges each,0,0,0,1,1,0,0
preheat oven to 325° f,1,0,0,0,0,1,0
place baguette slices on baking sheet and bake until golden and crispy about of minutes,0,0,0,1,1,0,0
take out of the oven and set aside,0,1,0,0,1,0,0
turn oven up to 400° f,0,1,0,0,0,1,0
pierce eggplant all over with a fork,0,0,0,1,0,0,1
place eggplant on baking sheet covered with aluminum foil roast for of minutes or until a fork easily pierces flesh,0,0,0,1,1,0,0
meanwhile slice off about of inch from the top of the head of garlic,0,1,0,0,1,0,0
drizzle a teaspoon olive oil over top of garlic wrap tightly in foil and place in oven on separate baking sheet for of minutes,0,0,1,1,0,1,1
while the vegetables are roasting heat a tablespoon olive oil in a large pot over medium heat,0,0,0,1,0,0,0
bring to a boil then reduce heat and simmer for of minutes,0,1,0,0,1,0,0
simmer covered for of minutes so flavors combine at this point the soup looks a little like a sea monster convention not to worry you will soon transform it into a thing of scrumptious beauty,0,0,0,1,0,0,1
puree soup in batches in blender or use an immersion hand blender and puree in the pot if using a regular blender after you put the soup into the blender and the top is on securely hold a dish towel over the top of the blender so you dont jackson pollack your kitchen with soup,0,0,0,1,1,0,1
cool of minutes before serving the crocks will be hot then too so take care not to burn your digits,0,0,1,0,0,0,0
soak deer meat for of to of minutes in salt water pressure at of pounds for a hour in pressure cooker,0,0,0,0,0,0,1
combine soup gelatin in saucepan heat until gelatin dissolves combine other ingredients except parsley paprika and form into a ball,0,1,0,0,1,0,1
refrigerate roll in parsley sprinkle with paprika serve with crackers,0,1,0,0,0,0,0
sift flour and put in large kettle add sugar salt melted lard and butter milk yeast and eggs mix well and let stand to rise mix down with spoon let rise again put into pans let rise when ready to put into oven cover with thick sour cream sugar and cinnamon bake at 350 f about of minutes,0,1,0,0,1,0,1
preheat oven to 350f spray a glass square baking dish with nonstick cooking spray or line with parchment paper,0,0,0,1,0,0,0
mix dry ingredients and add yeast,0,0,0,1,0,0,0
add warm milk and butter to dry ingredients mix,0,0,0,1,0,0,0
allow to rise about of minutes then gently knead,0,0,0,1,0,0,0
divide dough in half then fourths shape and add preserves in the middle,0,0,0,1,0,0,0
melt some butter sugar dip each roll into this and put into a baking pan,0,0,0,1,0,0,0
bake at 350f of minutes or until golden,0,0,0,1,0,0,0
preheat the oven to 350 degrees,0,0,0,0,1,0,0
in a small casserole dish place the whole head of garlic and the broth cover the casserole and roast in the oven for a hour remove dish from the oven and set aside,0,0,0,0,1,0,0
meanwhile prepare the potatoes boil the cubed potatoes in water for about of minutes until soft drain with electric beaters add the warm milk and olive oil whip until potatoes are fluffy add the herbs,0,0,0,0,1,0,0
take the garlic and gently squeeze out the garlic from each of the cloves leaving behind the skins add all the garlic pulp to the potatoes whip again season with pepper and salt,0,0,0,0,1,0,0
this recipe yields a servings,0,0,0,0,1,0,0
serving size of cup,0,0,0,0,1,0,0
comments roasting a head of garlic is easy and brings out that good garlicky flavor,0,0,0,0,1,0,0
cook chickens till tender debone chicken and reserve broth,0,1,0,0,1,0,1
brown bread crumbs in of lb margarine stirring constantly,0,1,0,0,1,0,1
combine bread crumbs and all other ingredients except chicken,0,0,0,0,0,0,1
mix well and add chicken broth till mixture is very moist,0,1,0,0,1,0,1
put chicken meat in bottom of a large roast pan cover with bread mixture roast in a slow oven till golden brown 250 degrees for a of to a hours,0,1,0,0,1,0,1
notes,0,1,0,0,0,0,0
heat oil in a saucepan or large skillet over mediumhigh heat add onion and garlic saut a minutes stir in wine and next a ingredients,0,0,0,0,1,0,0
wine through tomatoes bring to a boil reduce heat to medium and cook uncovered about of minutes stir in parsley,0,0,0,0,1,0,0
yield a cups serving size cup,0,0,0,0,1,0,0
cook cauliflower in salted water until almost done drain cool enough to handle and break into flowerets grease casserole and make alternate layers of cauliflower and ham dot with butter mix remaining ingredients except cheese pour into casserole bake covered in 375 degree oven until bubbly about of minutes remove cover top with cheese and bake until browned about of minutes or put under broiler to brown,0,1,0,1,1,0,1
makes a servings,0,1,0,1,1,0,1
i use these proportions for a a of lb loaf so you may want to adjust for a smaller or larger loaf,0,1,0,1,1,0,1
its a special treat for thanksgiving or other holiday dinners or try it toasted with cream cheese for breakfast,0,1,0,1,1,0,1
Kathryn,0,0,0,0,1,1,0
what an amazing breakfast i threw together this morning i had a great training session this morning and then i prepared my breakfast i made a a oz lean turkey burger and a huge plate of broccoli zucchini chopped green pepper i sauteed the vegetables with some extra virgin olive oil and topped them with some crushed red pepper and toasted sesame seeds along with a hot cup of black tea tasted wonderful truly a power meal,1,0,0,0,0,0,0
in a small bowl whisk together the vinegar salt pepper parsley and garlic drizzle in the olive oil in a thin stream whisking constantly until it is completely emulsified stir in the onion and tabasco,0,0,0,0,0,1,0
in a large saucepan bring a generous amount of water to the boil plunge in the okra and cook for a minutes drain and pat dry with paper towels,0,0,1,0,0,0,0
in a large heavy skillet heat the olive oil over mediumhigh heat toss in the okra and sear it tossing frequently for about a of minutes or until golden set aside for a minutes to cool,0,0,0,0,1,1,0
arrange the lettuce leaves in a large serving bowl and scatter the okra on top pour the dressing over toss together and scatter the red pepper julienne on top,0,1,0,0,0,1,1
this recipe yields a servings,0,1,0,0,1,1,0
heat enough oil in a large pan add the cloves cinnamon and cardamom when the aroma rises add the chopped onions and slit green chilly saute for few minutes and add the broccoli mushrooms and tomatoes fry for a mins,0,0,0,0,1,0,0
add the chilly powder turmeric powder required salt and ground paste add enough water cover the pan with a lid and cook the curry until the broccoli is tender and curry becomes thick,0,0,0,0,1,0,0
one of the tricks to the incredible flavor in this risotto is the broth so lets start there in a saucepan over medium heat add a tbsp butter and all the mushrooms season with salt and pepper once a good amount of the moisture is cooked out of the mushrooms and they are lightly browned add in the vegetable broth water and chopped parsley simmer for of minutes and voila beautiful,0,1,0,0,1,0,0
mushroom broth,0,1,0,0,1,0,1
once the broth has been cooking for of minutes you can go ahead and start the risotto in a large saute pan the rice will plump up quite a bit over medium low heat add a tbsp butter and the oil add the onion and garlic and cook until softened season with salt and pepper next add in the arborio rice and toss to coat well with the mixture continue to stir until the rice is toasted and opaque clear with just a speck of white in the center of the grain,0,1,0,0,1,0,1
at this point the fabulous broth will be ready keep it over low heat using a slotted spoon add the mushrooms from the broth into the risotto and mix to combine,0,1,0,0,1,0,1
add in the wine and continue stirring until the wine is all absorbed next add a couple ladles of broth to the rice and continue stirring until absorbed you will continue doing this process until the rice is completely cooked through and the risotto is creamy taste and adjust seasoning if necessary with salt and pepper,0,1,0,0,1,0,1
you dont want to overcook this otherwise you end up with a very sticky clumpy risotto in the end you want to see each grain on its own you can certainly add a little more broth if you want a looser consistency then i have pictured at the top finish it off with a sprinkle of fresh chopped parsley,0,1,0,0,1,0,1
and grated cheese if youd like i have mine served over sautéed broccoli rare,0,1,0,0,1,0,1
heat oil in a saucepan or large skillet over mediumhigh heat add onion and garlic saute a minutes stir in balsamic vinegar and next a ingredients bring to a boil reduce heat to medium and cook uncovered about of minutes stir in parsley,0,0,0,0,0,0,1
cook pasta according to package directions in a large serving bowl toss the cooked and drained pasta with the arrabbiata sauce and serve,0,0,0,0,0,0,1
grate the carrot and zucchini and drain out the excess water of them,0,0,0,0,0,0,1
combine them with the beef mince and other ingredients and mix well with hands,0,1,0,0,1,0,1
form a meatballs with any size that you want,0,0,0,0,0,0,1
preheat the oven to 200c degrees,0,0,0,0,0,0,1
bake the meatballs for about of min,0,0,0,0,0,0,1
serve them and enjoy the taste,0,0,0,0,0,0,1
for garnishing combine some cocoa and cinnamon into small bowl and dip half of the balls into it,0,0,0,0,1,0,0
dip the other half of the balls into the coconut shreds,0,0,0,0,1,0,0
this recipe yield about of balls,0,0,0,0,0,0,1
boil spareribs in a large pot for of minutes while ribs are parboiling mix remaining ingredients in a large pan marinade put boiled ribs into marinade and let marinate for a hours turning after a hour broil ribs on grill or in oven coating each side with honey watch ribs as they begin to crisp turn and baste again when marinade begins to brown the ribs are done,0,0,0,0,0,1,0
note if you do not want to parboil ribs first bake them at 250 degrees for of minutes 350 degrees for of minutes and 400 degrees for a minutes serve with rice,0,0,0,1,1,0,1
in a heated wok of cooking oil add green onions and fry till fragrant followed by broad beans and fry till broad beans turn slightly brown on the outside,0,0,0,0,1,0,0
add some water to simmer in covered wok for a to a minutes when water dries off add salt and sugar mix well dish up and serve immediately,0,0,0,0,1,0,0
beat eggs until light cream the butter add sugar combine mixtures then add chocolate melted bread crumbs and flour spread mixture in a shallow buttered pan and bake in a slow oven,0,0,0,1,1,0,0
shape with a tiny biscuitcutter and put together in pairs with whipped topping between and on top,0,0,0,0,1,0,0
beat eggs until light add salt and pepper add milk slowly to flour stir until smooth and well mixed combine mixtures,0,0,0,0,1,0,0
grease a of inch springworm pan and line with a baking paper to prepare the curst combine and sieve first five ingredients first in a bowl cut in butter and egg until a smooth dough forms press firmly on the bottom and sides of prepare pan use a fork to prick the crust in regular intervals cover and chill the crust for of minutes,0,1,0,0,0,0,0
preheat oven to 200c400f stir chopped chocolate and sugar in a heatproof bowl set over a pan of simmering water until melted and smooth remove bowl from over water and stir in the vanilla extract let cool briefly until lukewarm but still pourable,0,1,0,0,0,0,0
blend quark and cream cheese in another bowl until smooth add in cocoa powder and pudding powder stir to combine blend in eggs one at a time gently stir in lukewarm chocolate until completely blended pour filling over crust press cherries lightly into chocolate mixture if using bake until the filling is set about of minutes turn off the oven and let cool in oven with door ajar for about a hour take out and cool completely chill the cake overnight,0,0,0,1,0,0,0
in a pot combine sugar and cornstarch add in cherry lemon juice and stir until smooth cook over medium heat stirring until the mixture boils and thickens remove from heat and let cool drizzle the chocolate cheesecake with cherry sauce or simply just dust with icing sugar,0,1,0,0,0,0,0
peel and cube your potatoes then place in a large pot,0,1,0,0,0,0,0
add the smashed garlic,0,1,0,0,0,0,0
fill the pot with enough water so that the potatoes are just covered,0,1,0,0,0,0,0
add sea salt to your water along with cracked black pepper,0,0,1,0,0,0,0
cover pot with lid and bring to a boil,0,1,0,0,0,0,0
once boiling remove the lid and leave the potatoes alone when you do check the potatoes you will know they are ready when you scrape them against the side of the pot and they disintegrate,0,1,0,0,0,0,1
pour out most of the boiling liquid leave a little bit of the water when pouring out the liquid do not pour out the garlic clove pieces,0,1,0,0,1,0,0
put in a huge spoonful of butter and sour cream,0,0,1,0,0,0,0
